"time","carID","edgeID","laneID","pos","speed"
"14.00","car8","E7","E7_0","187.68","13.00"
"15.00","car7","-E6","-E6_0","7.96","2.91"
"15.00","car5","-E6","-E6_0","32.34","5.84"
"15.00","car1","-E6","-E6_0","74.12","8.92"
"15.00","car9","-E7","-E7_0","67.03","8.15"
"15.00","car3","E0","E0_0","34.58","6.33"
"15.00","car2","E0","E0_0","72.13","8.75"
"15.00","car6","E12","E12_0","141.72","2.57"
"15.00","car0","E12","E12_0","155.13","2.63"
"15.00","car8","E7","E7_0","200.57","12.89"
"16.00","car7","-E6","-E6_0","11.63","3.67"
"16.00","car5","-E6","-E6_0","38.59","6.25"
"16.00","car1","-E6","-E6_0","83.58","9.47"
"16.00","car9","-E7","-E7_0","75.97","8.94"
"16.00","car3","E0","E0_0","41.57","6.99"
"16.00","car2","E0","E0_0","81.55","9.42"
"16.00","car6","E12","E12_0","144.58","2.86"
"16.00","car0","E12","E12_0","158.07","2.94"
"16.00","car8","E7","E7_0","213.25","12.68"
"17.00","car7","-E6","-E6_0","15.77","4.14"
"17.00","car5","-E6","-E6_0","45.42","6.83"
"17.00","car1","-E6","-E6_0","93.31","9.73"
"17.00","car9","-E7","-E7_0","85.46","9.48"
"17.00","car3","E0","E0_0","49.23","7.66"
"17.00","car2","E0","E0_1","91.59","10.04"
"17.00","car6","E12","E12_0","147.42","2.84"
"17.00","car0","E12","E12_0","160.67","2.60"
"17.00","car8","E7","E7_0","226.10","12.85"
"18.00","car7","-E6","-E6_0","20.57","4.80"
"18.00","car5","-E6","-E6_0","52.81","7.39"
"18.00","car1","-E6","-E6_0","98.66","5.35"
"18.00","car9","-E7","-E7_0","95.61","10.15"
"18.00","car3","E0","E0_0","57.43","8.20"
"18.00","car2","E0","E0_1","102.31","10.72"
"18.00","car6","E12","E12_0","150.22","2.80"
"18.00","car0","E12","E12_0","163.30","2.63"
"18.00","car8","E7","E7_0","238.86","12.76"
"19.00","car1","-E12","-E12_0","4.56","5.89"
"19.00","car7","-E6","-E6_0","25.89","5.33"
"19.00","car5","-E6","-E6_0","60.80","7.99"
"19.00","car9","-E7","-E7_0","106.31","10.70"
"19.00","car3","E0","E0_0","66.32","8.89"
"19.00","car2","E0","E0_1","113.80","11.50"
"19.00","car6","E12","E12_0","153.08","2.87"
"19.00","car0","E12","E12_0","166.00","2.70"
"19.00","car8","E7","E7_0","251.62","12.76"
"20.00","car1","-E12","-E12_0","11.17","6.61"
"20.00","car7","-E6","-E6_0","31.87","5.97"
"20.00","car5","-E6","-E6_0","69.48","8.68"
"20.00","car9","-E7","-E7_0","117.63","11.33"
"20.00","car3","E0","E0_0","75.69","9.37"
"20.00","car2","E0","E0_1","126.02","12.22"
"20.00","car6","E12","E12_0","155.72","2.63"
"20.00","car0","E12","E12_0","168.67","2.66"
"20.00","car8","E7","E7_0","264.54","12.92"
"21.00","car1","-E12","-E12_0","18.23","7.06"
"21.00","car7","-E6","-E6_0","38.55","6.68"
"21.00","car5","-E6","-E6_0","78.77","9.28"
"21.00","car9","-E7","-E7_0","129.22","11.58"
"21.00","car3","E0","E0_1","85.76","10.07"
"21.00","car2","E0","E0_1","138.94","12.92"
"21.00","car6","E12","E12_0","158.28","2.56"
"21.00","car0","E12","E12_0","171.23","2.57"
"21.00","car8","E7","E7_0","277.51","12.97"
"22.00","car1","-E12","-E12_0","26.04","7.81"
"22.00","car7","-E6","-E6_0","45.64","7.10"
"22.00","car5","-E6","-E6_0","88.45","9.69"
"22.00","car9","-E7","-E7_0","141.06","11.84"
"22.00","car3","E0","E0_1","96.39","10.63"
"22.00","car2","E0","E0_1","152.57","13.64"
"22.00","car6","E12","E12_0","161.03","2.75"
"22.00","car0","E12","E12_0","174.09","2.86"
"22.00","car8","E7","E7_0","290.47","12.96"
"23.00","car1","-E12","-E12_0","34.43","8.39"
"23.00","car7","-E6","-E6_0","53.44","7.80"
"23.00","car5","-E6","-E6_0","96.07","7.61"
"23.00","car9","-E7","-E7_0","152.70","11.64"
"23.00","car3","E0","E0_1","107.55","11.16"
"23.00","car2","E0","E0_1","166.23","13.65"
"23.00","car6","E12","E12_0","163.78","2.74"
"23.00","car0","E12","E12_0","176.98","2.89"
"24.00","car5","-E12","-E12_0","4.36","8.30"
"24.00","car1","-E12","-E12_0","43.52","9.09"
"24.00","car7","-E6","-E6_0","61.99","8.55"
"24.00","car9","-E7","-E7_0","164.39","11.69"
"24.00","car3","E0","E0_1","119.38","11.82"
"24.00","car2","E0","E0_1","179.88","13.66"
"24.00","car6","E12","E12_0","166.51","2.74"
"24.00","car0","E12","E12_0","179.72","2.74"
"25.00","car5","-E12","-E12_0","13.10","8.74"
"25.00","car1","-E12","-E12_0","53.26","9.74"
"25.00","car7","-E6","-E6_0","71.28","9.29"
"25.00","car9","-E7","-E7_0","176.21","11.82"
"25.00","car3","E0","E0_1","131.86","12.48"
"25.00","car2","E0","E0_1","193.81","13.92"
"25.00","car6","E12","E12_0","169.30","2.79"
"25.00","car0","E12","E12_0","182.41","2.69"
"26.00","car5","-E12","-E12_0","22.29","9.19"
"26.00","car1","-E12","-E12_0","63.54","10.28"
"26.00","car7","-E6","-E6_0","81.09","9.81"
"26.00","car9","-E7","-E7_0","187.84","11.62"
"26.00","car3","E0","E0_1","144.87","13.02"
"26.00","car2","E0","E0_2","207.68","13.87"
"26.00","car6","E12","E12_0","171.84","2.54"
"26.00","car0","E12","E12_0","185.01","2.60"
"27.00","car5","-E12","-E12_0","31.97","9.67"
"27.00","car1","-E12","-E12_0","74.28","10.74"
"27.00","car7","-E6","-E6_0","91.46","10.37"
"27.00","car9","-E7","-E7_0","199.37","11.53"
"27.00","car3","E0","E0_1","158.44","13.56"
"27.00","car2","E0","E0_2","221.46","13.79"
"27.00","car6","E12","E12_0","174.61","2.77"
"27.00","car0","E12","E12_0","187.92","2.91"
"28.00","car5","-E12","-E12_0","42.30","10.33"
"28.00","car1","-E12","-E12_0","85.76","11.48"
"28.00","car7","-E6","-E6_0","97.83","6.37"
"28.00","car9","-E7","-E7_0","210.92","11.55"
"28.00","car3","E0","E0_1","172.50","14.07"
"28.00","car2","E0","E0_2","235.30","13.84"
"28.00","car6","E12","E12_0","177.44","2.83"
"28.00","car0","E12","E12_0","190.69","2.77"
"29.00","car7","-E12","-E12_0","4.83","7.00"
"29.00","car5","-E12","-E12_0","53.18","10.88"
"29.00","car1","-E12","-E12_0","97.87","12.10"
"29.00","car9","-E7","-E7_0","222.64","11.72"
"29.00","car3","E0","E0_2","187.36","14.85"
"29.00","car2","E0","E0_2","249.07","13.77"
"29.00","car6","E12","E12_0","179.97","2.53"
"29.00","car0","E12","E12_0","193.49","2.80"
"30.00","car7","-E12","-E12_0","12.37","7.54"
"30.00","car5","-E12","-E12_0","64.42","11.24"
"30.00","car1","-E12","-E12_0","110.76","12.89"
"30.00","car9","-E7","-E7_0","234.40","11.77"
"30.00","car3","E0","E0_2","202.27","14.91"
"30.00","car2","E0","E0_2","262.89","13.82"
"30.00","car6","E12","E12_0","182.74","2.77"
"30.00","car0","E12","E12_0","196.23","2.74"
"31.00","car7","-E12","-E12_0","20.52","8.14"
"31.00","car5","-E12","-E12_0","75.66","11.24"
"31.00","car1","-E12","-E12_0","123.64","12.89"
"31.00","car9","-E7","-E7_0","246.05","11.65"
"31.00","car3","E0","E0_2","216.99","14.73"
"31.00","car2","E0","E0_2","276.87","13.99"
"31.00","car6","E12","E12_0","185.48","2.74"
"31.00","car0","E12","E12_0","198.90","2.68"
"32.00","car7","-E12","-E12_0","29.15","8.63"
"32.00","car5","-E12","-E12_0","86.84","11.18"
"32.00","car1","-E12","-E12_0","136.29","12.64"
"32.00","car9","-E7","-E7_1","257.66","11.61"
"32.00","car3","E0","E0_2","231.91","14.92"
"32.00","car2","E0","E0_2","290.90","14.03"
"32.00","car6","E12","E12_0","188.08","2.60"
"32.00","car0","E12","E12_0","201.81","2.91"
"33.00","car7","-E12","-E12_0","38.44","9.29"
"33.00","car5","-E12","-E12_0","98.19","11.35"
"33.00","car1","-E12","-E12_0","149.15","12.86"
"33.00","car9","-E7","-E7_1","269.50","11.85"
"33.00","car3","E0","E0_2","246.72","14.81"
"33.00","car2","E0","E0_2","304.55","13.65"
"33.00","car6","E12","E12_0","190.60","2.52"
"33.00","car0","E12","E12_0","204.75","2.94"
"34.00","car7","-E12","-E12_0","48.40","9.96"
"34.00","car5","-E12","-E12_0","109.38","11.19"
"34.00","car1","-E12","-E12_0","162.00","12.85"
"34.00","car9","-E7","-E7_1","281.05","11.55"
"34.00","car3","E0","E0_2","261.72","15.00"
"34.00","car2","E0","E0_2","318.49","13.93"
"34.00","car6","E12","E12_0","193.38","2.79"
"34.00","car0","E12","E12_0","207.66","2.91"
"35.00","car7","-E12","-E12_0","58.98","10.58"
"35.00","car5","-E12","-E12_0","120.55","11.17"
"35.00","car1","-E12","-E12_0","174.83","12.84"
"35.00","car9","-E7","-E7_1","292.90","11.85"
"35.00","car3","E0","E0_2","276.65","14.93"
"35.00","car2","E0","E0_2","332.39","13.91"
"35.00","car6","E12","E12_0","196.05","2.66"
"35.00","car0","E12","E12_0","210.29","2.63"
"36.00","car7","-E12","-E12_0","70.13","11.15"
"36.00","car5","-E12","-E12_0","132.04","11.49"
"36.00","car1","-E12","-E12_0","187.84","13.01"
"36.00","car9","-E4","-E4_2","4.66","11.76"
"36.00","car3","E0","E0_2","291.47","14.82"
"36.00","car2","E0","E0_2","346.23","13.84"
"36.00","car6","E12","E12_0","198.80","2.76"
"36.00","car0","E12","E12_0","212.99","2.70"
"37.00","car7","-E12","-E12_0","81.73","11.60"
"37.00","car5","-E12","-E12_0","143.53","11.49"
"37.00","car1","-E12","-E12_0","200.58","12.74"
"37.00","car9","-E4","-E4_2","16.38","11.72"
"37.00","car3","E0","E0_2","306.25","14.78"
"37.00","car2","E0","E0_2","359.88","13.65"
"37.00","car6","E12","E12_0","201.57","2.77"
"37.00","car0","E12","E12_0","215.64","2.65"
"38.00","car7","-E12","-E12_0","93.72","11.99"
"38.00","car5","-E12","-E12_0","154.75","11.22"
"38.00","car1","-E12","-E12_0","213.22","12.64"
"38.00","car9","-E4","-E4_2","28.04","11.66"
"38.00","car3","E0","E0_2","320.94","14.70"
"38.00","car2","E0","E0_2","373.61","13.72"
"38.00","car6","E12","E12_0","204.41","2.84"
