"time","carID","depart","edgeID","departLane","laneID","arrivalLane","departPos","pos","arrivalPos","departSpeed","speed","arrivalSpeed","departDelay","waitingTime","duration","arrival","routeLength","rerouteNo","speedFactor","vaporized","HasRun","onRouteAtStart"
"4.00","car8","0.00","E7","E7_0","E7_0","E7_0","7.85","59.10","300.00","13.00","12.94","12.88","0.00","0.00","23.00","23.00","292.15","0","0.94","","80","route0"
"5.00","car4","0.00","-E0","-E0_0","-E0_0","-E0_0","392.76","463.22","500.00","13.92","14.07","14.21","0.00","0.00","8.00","8.00","107.24","0","1.03","","80","route1"
"5.00","car5","5.00","-E6","-E6_0","-E6_0","E2_0","0.00","0.00","100.00","0.00","0.00","11.36","5.00","0.00","55.00","60.00","500.00","0","0.83","","80","route2"
"5.00","car1","0.00","-E6","-E6_0","-E6_0","E2_0","0.00","9.82","100.00","0.00","3.07","12.94","0.00","0.00","53.00","53.00","500.00","0","0.94","","80","route2"
"5.00","car9","0.00","-E7","-E7_0","-E7_0","","0.00","9.12","-1.00","0.00","2.76","-1.00","0.00","0.00","101.00","-1.00","1028.48","0","0.86","","80","route1"
"5.00","car3","5.00","E0","E0_0","E0_0","","0.00","0.00","-1.00","0.00","0.00","-1.00","5.00","5.00","96.00","-1.00","607.46","0","1.08","end","80","route0"
"5.00","car2","0.00","E0","E0_0","E0_0","","0.00","9.37","-1.00","0.00","3.03","-1.00","0.00","6.00","101.00","-1.00","610.10","0","1.01","end","80","route0"
"5.00","car6","0.00","E12","E12_0","E12_0","","100.97","114.64","-1.00","2.89","2.64","-1.00","0.00","0.00","101.00","-1.00","484.01","0","1.05","","80","route0"
"5.00","car0","0.00","E12","E12_0","E12_0","","114.09","127.56","-1.00","2.78","2.73","-1.00","0.00","0.00","101.00","-1.00","540.71","0","1.06","","80","route0"
"5.00","car8","0.00","E7","E7_0","E7_0","E7_0","7.85","71.78","300.00","13.00","12.67","12.88","0.00","0.00","23.00","23.00","292.15","0","0.94","","80","route0"
"6.00","car4","0.00","-E0","-E0_0","-E0_0","-E0_0","392.76","477.52","500.00","13.92","14.29","14.21","0.00","0.00","8.00","8.00","107.24","0","1.03","","80","route1"
"6.00","car5","5.00","-E6","-E6_0","-E6_0","E2_0","0.00","0.46","100.00","0.00","0.46","11.36","5.00","0.00","55.00","60.00","500.00","0","0.83","","80","route2"
"6.00","car1","0.00","-E6","-E6_0","-E6_0","E2_0","0.00","13.59","100.00","0.00","3.77","12.94","0.00","0.00","53.00","53.00","500.00","0","0.94","","80","route2"
"6.00","car9","0.00","-E7","-E7_0","-E7_0","","0.00","12.52","-1.00","0.00","3.40","-1.00","0.00","0.00","101.00","-1.00","1028.48","0","0.86","","80","route1"
"6.00","car3","5.00","E0","E0_0","E0_0","","0.00","0.57","-1.00","0.00","0.57","-1.00","5.00","5.00","96.00","-1.00","607.46","0","1.08","end","80","route0"
"6.00","car2","0.00","E0","E0_0","E0_0","","0.00","12.97","-1.00","0.00","3.61","-1.00","0.00","6.00","101.00","-1.00","610.10","0","1.01","end","80","route0"
"6.00","car6","0.00","E12","E12_0","E12_0","","100.97","117.36","-1.00","2.89","2.72","-1.00","0.00","0.00","101.00","-1.00","484.01","0","1.05","","80","route0"
"6.00","car0","0.00","E12","E12_0","E12_0","","114.09","130.38","-1.00","2.78","2.82","-1.00","0.00","0.00","101.00","-1.00","540.71","0","1.06","","80","route0"
"6.00","car8","0.00","E7","E7_0","E7_0","E7_0","7.85","84.62","300.00","13.00","12.85","12.88","0.00","0.00","23.00","23.00","292.15","0","0.94","","80","route0"
"7.00","car4","0.00","-E0","-E0_0","-E0_0","-E0_0","392.76","491.53","500.00","13.92","14.01","14.21","0.00","0.00","8.00","8.00","107.24","0","1.03","","80","route1"
"7.00","car5","5.00","-E6","-E6_0","-E6_0","E2_0","0.00","1.37","100.00","0.00","0.91","11.36","5.00","0.00","55.00","60.00","500.00","0","0.83","","80","route2"
"7.00","car1","0.00","-E6","-E6_0","-E6_0","E2_0","0.00","18.04","100.00","0.00","4.45","12.94","0.00","0.00","53.00","53.00","500.00","0","0.94","","80","route2"
"7.00","car9","0.00","-E7","-E7_0","-E7_0","","0.00","16.58","-1.00","0.00","4.06","-1.00","0.00","0.00","101.00","-1.00","1028.48","0","0.86","","80","route1"
