"id","sampledSeconds","CO_abs","CO2_abs","HC_abs","PMx_abs","NOx_abs","fuel_abs","electricity_abs","CO_normed","CO2_normed","HC_normed","PMx_normed","NOx_normed","fuel_normed","electricity_normed","traveltime","CO_perVeh","CO2_perVeh","HC_perVeh","PMx_perVeh","NOx_perVeh","fuel_perVeh","electricity_perVeh"
"-E0","24.72","1331.123794","69311.458604","7.647198","1.045586","27.273794","29.794522","0","94.891993","4941.014871","0.545147","0.074537","1.944270","2.123966","0","54.27","2921.976841","152146.988653","16.786520","2.295187","59.869258","65.402560","0"
"-E12","442.86","24961.931302","517088.496482","125.423581","10.075695","221.567092","222.286920","0","2965.774016","61436.257008","14.901812","1.197112","26.324803","26.410327","0","117.90","6645.655715","137665.314443","33.391725","2.682469","58.988169","59.179810","0"
"-E4","53.10","183.984569","55503.480656","1.964378","0.477925","18.360467","23.858858","0","32.789329","9891.709424","0.350087","0.085175","3.272162","4.252074","0","17.27","59.832380","18049.912409","0.638822","0.155423","5.970883","7.758978","0"
"-E6","62.84","5148.658485","161827.854871","27.144448","2.815071","66.919594","69.565108","0","1835.165401","57681.215598","9.675249","1.003392","23.852529","24.795484","0","19.95","1634.494757","51373.922181","8.617285","0.893673","21.244316","22.084161","0"
"-E7","101.26","6006.441666","286036.068029","33.778689","4.396617","112.411581","122.957056","0","713.636634","33984.483330","4.013310","0.522370","13.355831","14.608759","0","33.20","1969.325136","93782.317387","11.074980","1.441514","36.856256","40.313789","0"
"E0","106.09","3927.095929","210622.360903","22.609077","2.947360","80.661787","90.539350","0","279.951393","15014.663352","1.611736","0.210109","5.750147","6.454290","0","52.52","1944.106895","104268.495497","11.192612","1.459089","39.931578","44.821460","0"
"E12","179.40","10682.295432","217607.062906","53.603113","4.328701","93.755199","93.545333","0","1269.183616","25854.304504","6.368687","0.514301","11.139232","11.114297","0","127.37","7583.991002","154492.076875","38.056008","3.073200","66.562341","66.413344","0"
"E4","15.55","1174.116455","47938.147980","6.440408","0.766003","19.360185","20.607027","0","209.248477","8543.432313","1.147796","0.136515","3.450330","3.672540","0","30.18","2278.577346","93032.320168","12.498733","1.486563","37.571808","39.991523","0"
