"id","sampledSeconds","traveltime","overlapTraveltime","density","laneDensity","occupancy","waitingTime","timeLoss","speed","speedRelative","departed","arrived","entered","left","laneChangedFrom","laneChangedTo"
"-E0","24.72","54.27","54.81","0.49","0.16","0.08","0.00","7.25","9.21","0.66","0","0","1","0","0","0"
"-E12","442.86","117.96","119.87","14.62","4.87","2.40","0.00","33.74","2.54","0.92","1","0","6","1","7","7"
"-E4","53.10","15.78","17.70","2.63","0.88","0.41","0.00","5.18","11.58","0.83","0","0","3","3","0","0"
"-E6","62.84","18.88","20.95","6.22","2.07","0.87","0.00","33.60","5.01","0.36","3","0","0","3","1","1"
"-E7","101.26","33.40","33.75","3.34","1.67","0.78","0.00","36.86","9.04","0.65","3","0","0","3","3","3"
"E0","106.09","50.97","53.05","2.10","0.70","0.33","0.00","23.22","9.52","0.69","2","0","0","2","4","4"
"E12","179.40","127.54","129.49","5.92","1.97","0.97","0.00","15.33","2.36","0.85","1","0","2","1","4","4"
"E4","15.55","30.18","30.93","0.77","0.26","0.12","0.00","7.18","6.63","0.48","0","0","1","0","0","0"
