"id","sampledSeconds","CO_abs","CO2_abs","HC_abs","PMx_abs","NOx_abs","fuel_abs","electricity_abs","CO_normed","CO2_normed","HC_normed","PMx_normed","NOx_normed","fuel_normed","electricity_normed","traveltime","CO_perVeh","CO2_perVeh","HC_perVeh","PMx_perVeh","NOx_perVeh","fuel_perVeh","electricity_perVeh"
"E12","882.19","54600.988641","1113047.340414","274.006811","22.153984","479.577385","478.478835","0","6487.246175","132243.248366","32.555265","2.632157","56.979491","56.848970","0","125.58","7772.261571","158438.432822","39.003920","3.153543","68.266179","68.109804","0"
"E4","96.21","6368.283722","318314.140748","36.251868","4.943233","126.480014","136.831849","0","1134.941653","56729.252807","6.460729","0.880972","22.540993","24.385874","0","24.14","1597.521189","79850.962496","9.093993","1.240039","31.728251","34.325069","0"
"E7","29.81","58.459506","44173.318236","1.163105","0.407867","14.608173","18.988347","0","6.945684","5248.315038","0.138191","0.048460","1.735625","2.256041","0","20.50","40.212817","30385.709303","0.800070","0.280562","10.048593","13.061604","0"
