"id","sampledSeconds","CO_abs","CO2_abs","HC_abs","PMx_abs","NOx_abs","fuel_abs","electricity_abs","CO_normed","CO2_normed","HC_normed","PMx_normed","NOx_normed","fuel_normed","electricity_normed","traveltime","CO_perVeh","CO2_perVeh","HC_perVeh","PMx_perVeh","NOx_perVeh","fuel_perVeh","electricity_perVeh"
"-E0","42.14","1346.613198","104121.317100","8.416260","1.402278","39.026976","44.757807","0","95.996188","7422.509734","0.599971","0.099964","2.782121","3.190656","0","42.11","1345.594669","104042.563568","8.409894","1.401218","38.997457","44.723954","0"
"-E12","310.09","18899.083184","388154.484637","94.887669","7.603863","166.545138","166.860618","0","2245.435626","46117.364511","11.273782","0.903429","19.787541","19.825024","0","120.90","7368.641148","151339.145904","36.996143","2.964701","64.934968","65.057972","0"
"-E4","36.13","188.337137","39491.490645","1.683837","0.350539","13.273095","16.975929","0","33.565034","7038.087442","0.300090","0.062472","2.365502","3.025413","0","17.79","92.727041","19443.478586","0.829030","0.172586","6.534956","8.358031","0"
"-E6","42.06","3391.865688","104855.724815","17.843186","1.839398","43.483291","45.074461","0","1208.981830","37374.317756","6.359947","0.655627","15.498995","16.066144","0","20.03","1615.174137","49931.297531","8.496755","0.875904","20.706329","21.464029","0"
"-E7","69.13","3945.855984","181525.375490","22.119072","2.785048","71.521726","78.031623","0","468.814572","21567.371345","2.628009","0.330897","8.497631","9.271084","0","34.00","1940.584910","89274.774831","10.878232","1.369696","35.174619","38.376208","0"
"E0","265.70","10396.101930","537889.129175","59.456787","7.763144","207.571608","231.220092","0","741.108256","38344.571585","4.238504","0.553412","14.797184","16.483016","0","52.61","2058.635805","106512.789859","11.773631","1.537258","41.103324","45.786196","0"
"E12","194.73","11354.389696","234674.220354","57.041655","4.589325","100.652392","100.882168","0","1349.036399","27882.085587","6.777226","0.545266","11.958700","11.986000","0","119.64","6976.109586","144183.273794","35.046255","2.819670","61.840587","61.981760","0"
