"time","carID","depart","edgeID","departLane","laneID","arrivalLane","departPos","pos","arrivalPos","departSpeed","speed","arrivalSpeed","departDelay","waitingTime","duration","arrival","routeLength","rerouteNo","speedFactor","vaporized","HasRun","onRouteAtStart"
"0.00","car0","0.00","-E12","-E12_0","-E12_0","-E0_0","141.77","141.77","500.00","2.56","2.56","14.34","0.00","0.00","100.00","100.00","658.23","0","1.06","","4","route1"
"0.00","car1","0.00","-E6","-E6_0","-E6_0","","0.00","0.00","-1.00","0.00","0.00","-1.00","0.00","0.00","101.00","-1.00","296.05","0","0.94","end","4","route2"
"0.00","car3","0.00","-E7","-E7_0","-E7_0","","0.00","0.00","-1.00","0.00","0.00","-1.00","0.00","0.00","101.00","-1.00","647.64","0","1.08","end","4","route1"
"0.00","car2","0.00","E0","E0_0","E0_0","","0.00","0.00","-1.00","0.00","0.00","-1.00","0.00","0.00","101.00","-1.00","636.17","0","1.01","end","4","route0"
"1.00","car0","0.00","-E12","-E12_0","-E12_0","-E0_0","141.77","144.64","500.00","2.56","2.87","14.34","0.00","0.00","100.00","100.00","658.23","0","1.06","","4","route1"
"1.00","car1","0.00","-E6","-E6_0","-E6_0","","0.00","0.71","-1.00","0.00","0.71","-1.00","0.00","0.00","101.00","-1.00","296.05","0","0.94","end","4","route2"
"1.00","car3","0.00","-E7","-E7_0","-E7_0","","0.00","0.77","-1.00","0.00","0.77","-1.00","0.00","0.00","101.00","-1.00","647.64","0","1.08","end","4","route1"
"1.00","car2","0.00","E0","E0_0","E0_0","","0.00","0.78","-1.00","0.00","0.78","-1.00","0.00","0.00","101.00","-1.00","636.17","0","1.01","end","4","route0"
"2.00","car0","0.00","-E12","-E12_0","-E12_0","-E0_0","141.77","147.23","500.00","2.56","2.59","14.34","0.00","0.00","100.00","100.00","658.23","0","1.06","","4","route1"
"2.00","car1","0.00","-E6","-E6_0","-E6_0","","0.00","2.19","-1.00","0.00","1.47","-1.00","0.00","0.00","101.00","-1.00","296.05","0","0.94","end","4","route2"
"2.00","car3","0.00","-E7","-E7_0","-E7_0","","0.00","2.19","-1.00","0.00","1.42","-1.00","0.00","0.00","101.00","-1.00","647.64","0","1.08","end","4","route1"
"2.00","car2","0.00","E0","E0_0","E0_0","","0.00","2.05","-1.00","0.00","1.28","-1.00","0.00","0.00","101.00","-1.00","636.17","0","1.01","end","4","route0"
"3.00","car0","0.00","-E12","-E12_0","-E12_0","-E0_0","141.77","150.13","500.00","2.56","2.90","14.34","0.00","0.00","100.00","100.00","658.23","0","1.06","","4","route1"
"3.00","car1","0.00","-E6","-E6_0","-E6_0","","0.00","4.19","-1.00","0.00","2.00","-1.00","0.00","0.00","101.00","-1.00","296.05","0","0.94","end","4","route2"
"3.00","car3","0.00","-E7","-E7_0","-E7_0","","0.00","4.03","-1.00","0.00","1.83","-1.00","0.00","0.00","101.00","-1.00","647.64","0","1.08","end","4","route1"
"3.00","car2","0.00","E0","E0_0","E0_0","","0.00","3.81","-1.00","0.00","1.75","-1.00","0.00","0.00","101.00","-1.00","636.17","0","1.01","end","4","route0"
"4.00","car0","0.00","-E12","-E12_0","-E12_0","-E0_0","141.77","152.85","500.00","2.56","2.72","14.34","0.00","0.00","100.00","100.00","658.23","0","1.06","","4","route1"
"4.00","car1","0.00","-E6","-E6_0","-E6_0","","0.00","6.74","-1.00","0.00","2.55","-1.00","0.00","0.00","101.00","-1.00","296.05","0","0.94","end","4","route2"
"4.00","car3","0.00","-E7","-E7_0","-E7_0","","0.00","6.36","-1.00","0.00","2.34","-1.00","0.00","0.00","101.00","-1.00","647.64","0","1.08","end","4","route1"
"4.00","car2","0.00","E0","E0_0","E0_0","","0.00","6.34","-1.00","0.00","2.53","-1.00","0.00","0.00","101.00","-1.00","636.17","0","1.01","end","4","route0"
"5.00","car0","0.00","-E12","-E12_0","-E12_0","-E0_0","141.77","155.70","500.00","2.56","2.86","14.34","0.00","0.00","100.00","100.00","658.23","0","1.06","","4","route1"
"5.00","car7","5.00","-E6","-E6_0","-E6_0","","0.00","0.00","-1.00","0.00","0.00","-1.00","5.00","0.00","96.00","-1.00","273.88","0","0.89","end","4","route2"
"5.00","car1","0.00","-E6","-E6_0","-E6_0","","0.00","9.82","-1.00","0.00","3.07","-1.00","0.00","0.00","101.00","-1.00","296.05","0","0.94","end","4","route2"
"5.00","car9","5.00","-E7","-E7_0","-E7_0","","0.00","0.00","-1.00","0.00","0.00","-1.00","5.00","0.00","96.00","-1.00","588.64","0","0.86","end","4","route1"
"5.00","car3","0.00","-E7","-E7_0","-E7_0","","0.00","9.12","-1.00","0.00","2.76","-1.00","0.00","0.00","101.00","-1.00","647.64","0","1.08","end","4","route1"
"5.00","car4","5.00","E0","E0_0","E0_0","","0.00","0.00","-1.00","0.00","0.00","-1.00","5.00","0.00","96.00","-1.00","625.27","0","1.03","end","4","route0"
"5.00","car2","0.00","E0","E0_0","E0_0","","0.00","9.37","-1.00","0.00","3.03","-1.00","0.00","0.00","101.00","-1.00","636.17","0","1.01","end","4","route0"
