"id","sampledSeconds","traveltime","overlapTraveltime","density","laneDensity","occupancy","waitingTime","timeLoss","speed","speedRelative","departed","arrived","entered","left","laneChangedFrom","laneChangedTo"
"-E0","44.20","44.66","45.11","0.88","0.29","0.14","0.00","11.09","11.19","0.81","0","0","2","0","0","0"
"-E12","261.84","128.63","130.11","8.64","2.88","1.42","0.00","31.05","2.34","0.84","4","0","0","4","0","0"
"E0","48.85","47.06","48.85","0.97","0.32","0.15","0.00","13.14","10.34","0.74","1","0","0","1","2","2"
"E12","465.57","120.25","121.82","15.37","5.12","2.54","0.00","41.55","2.50","0.90","5","0","1","4","5","5"
"E2","30.77","15.12","15.67","3.05","1.02","0.47","0.00","14.49","6.70","0.48","0","2","2","0","0","0"
"E4","67.35","22.39","22.81","3.33","1.11","0.53","0.00","24.91","8.99","0.65","0","0","4","2","0","0"
"E7","27.05","21.47","21.83","0.89","0.45","0.22","0.00","0.35","13.97","1.01","0","0","2","0","0","0"
