"carID","depart","departLane","departPos","departSpeed","departDelay","arrival","arrivalLane","arrivalPos","arrivalSpeed","duration","routeLength","waitingTime","rerouteNo","speedFactor","vaporized"
"car0","0.00","-E7_0","0.00","0.00","0.00","-1.00","","-1.00","-1.00","101.00","642.71","0.00","0","1.06","end"
"car1","0.00","-E12_0","117.31","2.31","0.00","-1.00","","-1.00","-1.00","101.00","410.47","0.00","0","0.94",""
"car2","0.00","-E6_0","0.00","0.00","0.00","-1.00","","-1.00","-1.00","101.00","313.05","0.00","0","1.01","end"
"car3","5.00","-E7_0","0.00","0.00","5.00","-1.00","","-1.00","-1.00","96.00","631.14","0.00","0","1.08","end"
"car4","0.00","E0_0","0.00","0.00","0.00","-1.00","","-1.00","-1.00","101.00","638.91","0.00","0","1.03","end"
"car5","5.00","E0_0","0.00","0.00","5.00","-1.00","","-1.00","-1.00","96.00","587.02","0.00","0","0.83","end"
"car6","5.00","-E6_0","0.00","0.00","5.00","-1.00","","-1.00","-1.00","96.00","302.53","0.00","0","1.05","end"
"car7","0.00","E12_0","108.37","2.12","0.00","-1.00","","-1.00","-1.00","101.00","294.69","0.00","0","0.89","end"
"car8","10.00","-E7_0","0.00","0.00","10.00","-1.00","","-1.00","-1.00","91.00","594.12","0.00","0","0.94","end"
"car9","10.00","-E6_0","0.00","0.00","10.00","-1.00","","-1.00","-1.00","91.00","255.58","0.00","0","0.86","end"
