"time","carID","edgeID","laneID","pos","speed"
"0.00","car9","-E0","-E0_0","11.86","4.13"
"0.00","car3","-E0","-E0_0","482.99","14.65"
"0.00","car1","-E7","-E7_0","0.00","0.00"
"0.00","car7","E0","E0_0","0.00","0.00"
"0.00","car0","E12","E12_0","146.59","2.66"
"0.00","car5","E12","E12_0","287.39","2.27"
"0.00","car8","E4","E4_0","7.90","3.71"
"0.00","car6","E4","E4_0","187.39","14.15"
"0.00","car4","E7","E7_0","164.20","14.21"
"0.00","car2","E7","E7_0","213.75","13.80"
"1.00","car9","-E0","-E0_0","16.51","4.65"
"1.00","car3","-E0","-E0_0","497.67","14.68"
"1.00","car1","-E7","-E7_0","0.77","0.77"
"1.00","car7","E0","E0_0","0.78","0.78"
"1.00","car0","E12","E12_0","149.15","2.56"
"1.00","car5","E12","E12_0","289.64","2.25"
"1.00","car8","E4","E4_0","12.18","4.28"
"1.00","car6","E7","E7_0","1.81","14.42"
"1.00","car4","E7","E7_0","178.36","14.16"
"1.00","car2","E7","E7_0","227.53","13.78"
"2.00","car9","-E0","-E0_0","21.75","5.25"
"2.00","car1","-E7","-E7_0","2.19","1.42"
"2.00","car7","E0","E0_0","2.05","1.28"
"2.00","car0","E12","E12_0","151.94","2.79"
"2.00","car5","E12","E12_0","291.70","2.06"
"2.00","car8","E4","E4_0","17.07","4.88"
"2.00","car6","E7","E7_0","15.98","14.17"
"2.00","car4","E7","E7_0","192.58","14.22"
"2.00","car2","E7","E7_0","241.21","13.67"
"3.00","car9","-E0","-E0_0","27.57","5.81"
"3.00","car1","-E7","-E7_0","4.03","1.83"
"3.00","car7","E0","E0_0","3.81","1.75"
"3.00","car0","E12","E12_0","154.87","2.93"
"3.00","car5","E12","E12_0","293.67","1.98"
"3.00","car8","E4","E4_0","22.75","5.68"
"3.00","car6","E7","E7_0","30.35","14.37"
"3.00","car4","E7","E7_0","206.85","14.28"
"3.00","car2","E7","E7_0","255.06","13.85"
"4.00","car9","-E0","-E0_0","34.16","6.59"
"4.00","car1","-E7","-E7_0","6.36","2.34"
"4.00","car7","E0","E0_0","6.34","2.53"
"4.00","car0","E12","E12_0","157.78","2.90"
"4.00","car5","E12","E12_0","295.58","1.91"
"4.00","car8","E4","E4_0","28.90","6.16"
"4.00","car6","E7","E7_0","44.68","14.33"
"4.00","car4","E7","E7_0","221.16","14.31"
"4.00","car2","E7","E7_0","268.77","13.71"
"5.00","car9","-E0","-E0_0","41.26","7.10"
"5.00","car1","-E7","-E7_0","9.12","2.76"
"5.00","car7","E0","E0_0","9.37","3.03"
"5.00","car0","E12","E12_0","160.45","2.68"
"5.00","car5","E12","E12_0","297.89","2.31"
"5.00","car8","E4","E4_0","35.49","6.59"
"5.00","car6","E7","E7_0","59.18","14.50"
"5.00","car4","E7","E7_0","235.24","14.08"
"5.00","car2","E7","E7_0","282.61","13.84"
"6.00","car9","-E0","-E0_0","49.06","7.80"
"6.00","car1","-E7","-E7_0","12.52","3.40"
"6.00","car7","E0","E0_0","12.97","3.61"
"6.00","car0","E12","E12_0","163.22","2.76"
"6.00","car5","E4","E4_0","0.10","2.21"
"6.00","car8","E4","E4_0","42.51","7.02"
"6.00","car6","E7","E7_0","73.52","14.35"
"6.00","car4","E7","E7_0","249.20","13.96"
"6.00","car2","E7","E7_0","296.51","13.90"
"7.00","car9","-E0","-E0_0","57.44","8.38"
"7.00","car1","-E7","-E7_0","16.58","4.06"
"7.00","car7","E0","E0_0","17.15","4.18"
"7.00","car0","E12","E12_0","165.81","2.59"
"7.00","car5","E4","E4_0","2.97","2.87"
"7.00","car8","E4","E4_0","50.18","7.67"
"7.00","car6","E7","E7_0","87.94","14.42"
"7.00","car4","E7","E7_0","263.25","14.04"
"8.00","car9","-E0","-E0_0","66.32","8.88"
"8.00","car1","-E7","-E7_0","21.06","4.47"
"8.00","car7","E0","E0_0","22.11","4.96"
"8.00","car0","E12","E12_0","168.74","2.94"
"8.00","car5","E4","E4_0","6.24","3.27"
"8.00","car8","E4","E4_0","58.36","8.18"
"8.00","car6","E7","E7_0","102.40","14.46"
"8.00","car4","E7","E7_0","277.50","14.26"
"9.00","car9","-E0","-E0_0","76.00","9.68"
"9.00","car1","-E7","-E7_0","26.07","5.01"
"9.00","car7","E0","E0_0","27.80","5.69"
"9.00","car0","E12","E12_0","171.50","2.76"
"9.00","car5","E4","E4_0","10.12","3.88"
"9.00","car8","E4","E4_0","67.26","8.91"
"9.00","car6","E7","E7_0","116.65","14.25"
"9.00","car4","E7","E7_0","291.67","14.16"
"10.00","car9","-E0","-E0_0","86.21","10.21"
"10.00","car1","-E7","-E7_0","31.73","5.67"
"10.00","car7","E0","E0_0","34.03","6.23"
"10.00","car0","E12","E12_0","174.25","2.75"
"10.00","car5","E4","E4_0","14.54","4.42"
"10.00","car8","E4","E4_0","76.90","9.64"
"10.00","car6","E7","E7_0","131.08","14.43"
"11.00","car9","-E0","-E0_0","97.04","10.82"
"11.00","car1","-E7","-E7_0","37.81","6.07"
"11.00","car7","E0","E0_0","40.93","6.90"
