"time","carID","edgeID","laneID","pos","speed"
"0.00","car0","E0","E0_0","0.00","0.00"
"1.00","car0","E0","E0_0","0.78","0.78"
"2.00","car0","E0","E0_0","2.05","1.28"
"3.00","car0","E0","E0_0","3.81","1.75"
"4.00","car0","E0","E0_0","6.34","2.53"
"5.00","car1","E0","E0_0","0.00","0.00"
"5.00","car0","E0","E0_0","9.37","3.03"
"6.00","car1","E0","E0_0","0.57","0.57"
"6.00","car0","E0","E0_0","12.97","3.61"
"7.00","car1","E0","E0_0","1.88","1.30"
"7.00","car0","E0","E0_0","17.36","4.39"
"8.00","car1","E0","E0_0","3.85","1.97"
"8.00","car0","E0","E0_0","22.29","4.93"
"9.00","car1","E0","E0_0","6.39","2.54"
"9.00","car0","E0","E0_0","27.75","5.46"
"10.00","car2","E0","E0_0","0.00","0.00"
"10.00","car1","E0","E0_0","9.56","3.17"
"10.00","car0","E0","E0_0","33.70","5.95"
"11.00","car2","E0","E0_0","0.72","0.72"
"11.00","car1","E0","E0_0","13.19","3.63"
"11.00","car0","E0","E0_0","40.19","6.49"
"12.00","car2","E0","E0_0","1.96","1.24"
"12.00","car1","E0","E0_0","17.39","4.20"
"12.00","car0","E0","E0_0","47.47","7.28"
"13.00","car2","E0","E0_0","3.73","1.77"
"13.00","car1","E0","E0_0","22.32","4.93"
"13.00","car0","E0","E0_0","55.20","7.73"
"14.00","car2","E0","E0_0","6.16","2.43"
"14.00","car1","E0","E0_0","27.93","5.60"
"14.00","car0","E0","E0_0","63.57","8.37"
"15.00","car3","E0","E0_0","0.00","0.00"
"15.00","car2","E0","E0_0","9.13","2.97"
"15.00","car1","E0","E0_0","34.20","6.28"
"15.00","car0","E0","E0_0","72.56","8.99"
"16.00","car3","E0","E0_0","0.54","0.54"
"16.00","car2","E0","E0_0","12.80","3.67"
"16.00","car1","E0","E0_0","40.96","6.76"
"16.00","car0","E0","E0_0","82.24","9.68"
"17.00","car3","E0","E0_0","1.70","1.16"
"17.00","car2","E0","E0_0","17.11","4.31"
"17.00","car1","E0","E0_0","48.41","7.45"
"17.00","car0","E0","E0_1","92.62","10.38"
"18.00","car3","E0","E0_0","3.58","1.88"
"18.00","car2","E0","E0_0","22.10","4.99"
"18.00","car1","E0","E0_0","56.35","7.94"
"18.00","car0","E0","E0_1","103.67","11.06"
"19.00","car3","E0","E0_0","6.08","2.50"
"19.00","car2","E0","E0_0","27.61","5.50"
"19.00","car1","E0","E0_0","64.90","8.55"
"19.00","car0","E0","E0_1","115.50","11.83"
"20.00","car4","E0","E0_0","0.00","0.00"
"20.00","car3","E0","E0_0","9.09","3.01"
"20.00","car2","E0","E0_0","33.87","6.26"
"20.00","car1","E0","E0_0","74.21","9.32"
"20.00","car0","E0","E0_1","128.05","12.55"
"21.00","car4","E0","E0_0","0.71","0.71"
"21.00","car3","E0","E0_0","12.72","3.63"
"21.00","car2","E0","E0_0","40.80","6.93"
"21.00","car1","E0","E0_1","84.24","10.02"
"21.00","car0","E0","E0_1","141.31","13.25"
"22.00","car4","E0","E0_0","2.05","1.35"
"22.00","car3","E0","E0_0","17.14","4.42"
"22.00","car2","E0","E0_0","48.39","7.59"
"22.00","car1","E0","E0_1","94.82","10.58"
"22.00","car0","E0","E0_1","155.28","13.97"
"23.00","car4","E0","E0_0","3.98","1.92"
"23.00","car3","E0","E0_0","22.19","5.05"
"23.00","car2","E0","E0_0","56.77","8.38"
"23.00","car1","E0","E0_1","105.94","11.12"
"23.00","car0","E0","E0_1","169.62","14.34"
"24.00","car4","E0","E0_0","6.55","2.57"
"24.00","car3","E0","E0_0","27.96","5.77"
"24.00","car2","E0","E0_0","65.83","9.06"
"24.00","car1","E0","E0_1","117.71","11.78"
"24.00","car0","E0","E0_1","183.97","14.35"
"25.00","car5","E0","E0_0","0.00","0.00"
"25.00","car4","E0","E0_0","9.81","3.27"
"25.00","car3","E0","E0_0","34.44","6.48"
"25.00","car2","E0","E0_1","75.58","9.75"
"25.00","car1","E0","E0_1","130.15","12.43"
"25.00","car0","E0","E0_2","198.58","14.61"
"26.00","car5","E0","E0_0","0.48","0.48"
"26.00","car4","E0","E0_0","13.61","3.80"
"26.00","car3","E0","E0_0","41.55","7.11"
"26.00","car2","E0","E0_1","85.86","10.28"
"26.00","car1","E0","E0_1","143.01","12.87"
"26.00","car0","E0","E0_2","213.06","14.47"
"27.00","car5","E0","E0_0","1.48","1.00"
"27.00","car4","E0","E0_0","17.94","4.33"
"27.00","car3","E0","E0_0","49.20","7.64"
"27.00","car2","E0","E0_1","96.65","10.78"
"27.00","car1","E0","E0_1","155.80","12.78"
"27.00","car0","E0","E0_2","227.59","14.53"
"28.00","car5","E0","E0_0","3.11","1.64"
"28.00","car4","E0","E0_0","22.79","4.85"
"28.00","car3","E0","E0_0","57.55","8.35"
"28.00","car2","E0","E0_1","108.10","11.45"
"28.00","car1","E0","E0_1","168.82","13.02"
"28.00","car0","E0","E0_2","242.04","14.45"
"29.00","car5","E0","E0_0","5.48","2.37"
"29.00","car4","E0","E0_0","28.23","5.44"
"29.00","car3","E0","E0_0","66.62","9.07"
"29.00","car2","E0","E0_1","120.34","12.24"
"29.00","car1","E0","E0_1","181.50","12.68"
"29.00","car0","E0","E0_2","256.55","14.51"
"30.00","car6","E0","E0_0","0.00","0.00"
"30.00","car5","E0","E0_0","8.39","2.91"
"30.00","car4","E0","E0_0","34.12","5.89"
"30.00","car3","E0","E0_1","76.46","9.85"
"30.00","car2","E0","E0_1","133.22","12.87"
"30.00","car1","E0","E0_1","194.32","12.83"
"30.00","car0","E0","E0_2","271.14","14.59"
"31.00","car6","E0","E0_0","0.75","0.75"
"31.00","car5","E0","E0_0","11.73","3.34"
"31.00","car4","E0","E0_0","40.81","6.68"
"31.00","car3","E0","E0_1","86.94","10.47"
"31.00","car2","E0","E0_1","146.50","13.28"
"31.00","car1","E0","E0_1","207.22","12.90"
"31.00","car0","E0","E0_2","285.82","14.68"
"32.00","car6","E0","E0_0","2.01","1.26"
"32.00","car5","E0","E0_0","15.79","4.06"
"32.00","car4","E0","E0_0","47.95","7.14"
"32.00","car3","E0","E0_1","98.06","11.12"
"32.00","car2","E0","E0_1","160.18","13.68"
"32.00","car1","E0","E0_2","219.96","12.74"
"32.00","car0","E0","E0_2","300.23","14.41"
"33.00","car6","E0","E0_0","3.94","1.93"
"33.00","car5","E0","E0_0","20.57","4.78"
"33.00","car4","E0","E0_0","55.68","7.73"
"33.00","car3","E0","E0_1","109.96","11.90"
"33.00","car2","E0","E0_1","173.94","13.76"
"33.00","car1","E0","E0_2","232.87","12.91"
"33.00","car0","E0","E0_2","314.94","14.72"
"34.00","car6","E0","E0_0","6.35","2.41"
"34.00","car5","E0","E0_0","25.87","5.30"
"34.00","car4","E0","E0_0","63.96","8.28"
"34.00","car3","E0","E0_1","122.28","12.32"
"34.00","car2","E0","E0_1","187.95","14.01"
"34.00","car1","E0","E0_2","245.68","12.80"
"34.00","car0","E0","E0_2","329.28","14.34"
"35.00","car7","E0","E0_0","0.00","0.00"
"35.00","car6","E0","E0_0","9.32","2.97"
"35.00","car5","E0","E0_0","31.58","5.71"
"35.00","car4","E0","E0_0","72.80","8.84"
"35.00","car3","E0","E0_1","135.01","12.74"
"35.00","car2","E0","E0_2","201.83","13.87"
"35.00","car1","E0","E0_2","258.67","13.00"
"35.00","car0","E0","E0_2","343.91","14.62"
"36.00","car7","E0","E0_0","0.77","0.77"
"36.00","car6","E0","E0_0","12.71","3.38"
"36.00","car5","E0","E0_0","37.78","6.20"
"36.00","car4","E0","E0_1","82.19","9.39"
"36.00","car3","E0","E0_1","148.51","13.49"
