"id","sampledSeconds","traveltime","overlapTraveltime","density","laneDensity","occupancy","waitingTime","timeLoss","speed","speedRelative","departed","arrived","entered","left","laneChangedFrom","laneChangedTo"
"-E0","47.31","46.07","46.38","0.94","0.31","0.15","0.00","4.41","10.89","0.78","2","2","0","0","0","0"
"-E12","48.89","125.04","127.12","1.61","0.54","0.26","0.00","3.92","2.40","0.86","0","0","1","0","2","2"
"-E4","18.91","16.78","18.91","0.94","0.31","0.15","0.00","1.57","10.84","0.78","0","0","1","1","0","0"
"-E7","34.71","34.32","34.71","1.15","0.57","0.27","0.00","11.31","8.79","0.63","1","0","0","1","1","1"
"E0","54.21","52.03","54.21","1.07","0.36","0.17","0.00","11.52","9.32","0.67","1","0","0","1","2","2"
"E12","112.85","119.85","121.03","3.72","1.24","0.61","0.00","11.81","2.52","0.91","2","0","1","2","2","2"
"E4","67.36","21.77","22.11","3.33","1.11","0.54","0.00","19.34","9.27","0.67","2","0","2","4","0","0"
"E7","109.02","22.63","23.02","3.60","1.80","0.89","0.00","1.63","13.25","0.95","2","6","4","0","0","0"
