"time","carID","edgeID","laneID","pos","speed"
"0.00","car9","-E12","-E12_0","88.64","1.98"
"0.00","car3","-E12","-E12_0","147.64","2.97"
"0.00","car7","-E12","-E12_0","173.88","2.44"
"0.00","car1","-E12","-E12_0","196.05","2.56"
"0.00","car0","E0","E0_0","0.00","0.00"
"0.00","car8","E12","E12_0","66.07","2.30"
"0.00","car5","E12","E12_0","75.99","2.22"
"0.00","car4","E12","E12_0","125.27","2.63"
"0.00","car2","E12","E12_0","136.17","2.77"
"0.00","car6","E12","E12_1","84.79","2.53"
"1.00","car9","-E12","-E12_0","90.79","2.15"
"1.00","car3","-E12","-E12_0","150.60","2.96"
"1.00","car7","-E12","-E12_0","175.99","2.11"
"1.00","car1","-E12","-E12_0","198.58","2.53"
"1.00","car0","E0","E0_0","0.78","0.78"
"1.00","car8","E12","E12_0","68.33","2.26"
"1.00","car5","E12","E12_0","78.05","2.06"
"1.00","car4","E12","E12_0","127.75","2.48"
"1.00","car2","E12","E12_0","138.91","2.74"
"1.00","car6","E12","E12_1","87.44","2.65"
"2.00","car9","-E12","-E12_0","92.92","2.13"
"2.00","car3","-E12","-E12_0","153.26","2.65"
"2.00","car7","-E12","-E12_0","178.30","2.31"
"2.00","car1","-E12","-E12_0","201.10","2.52"
"2.00","car0","E0","E0_0","2.05","1.28"
"2.00","car8","E12","E12_0","70.51","2.17"
"2.00","car5","E12","E12_0","79.96","1.91"
"2.00","car4","E12","E12_0","130.60","2.85"
"2.00","car2","E12","E12_0","141.39","2.47"
"2.00","car6","E12","E12_1","90.31","2.87"
"3.00","car9","-E12","-E12_0","95.24","2.32"
"3.00","car3","-E12","-E12_0","155.94","2.69"
"3.00","car7","-E12","-E12_0","180.42","2.12"
"3.00","car1","-E12","-E12_0","203.36","2.26"
"3.00","car0","E0","E0_0","3.81","1.75"
"3.00","car8","E12","E12_0","72.28","1.77"
"3.00","car5","E12","E12_0","82.14","2.18"
"3.00","car4","E12","E12_0","133.19","2.59"
"3.00","car2","E12","E12_0","143.98","2.59"
"3.00","car6","E12","E12_1","93.02","2.71"
"4.00","car9","-E12","-E12_0","97.61","2.37"
"4.00","car3","-E12","-E12_0","158.70","2.76"
"4.00","car7","-E12","-E12_0","182.70","2.29"
"4.00","car1","-E12","-E12_0","205.83","2.47"
"4.00","car0","E0","E0_0","6.34","2.53"
"4.00","car8","E12","E12_0","74.45","2.17"
"4.00","car5","E12","E12_0","84.26","2.12"
"4.00","car4","E12","E12_0","136.05","2.86"
"4.00","car2","E12","E12_0","146.43","2.45"
"4.00","car6","E12","E12_1","95.87","2.86"
"5.00","car9","-E12","-E12_0","99.69","2.08"
"5.00","car3","-E12","-E12_0","161.56","2.86"
"5.00","car7","-E12","-E12_0","184.91","2.21"
"5.00","car1","-E12","-E12_0","208.13","2.30"
"5.00","car0","E0","E0_0","9.37","3.03"
"5.00","car8","E12","E12_0","76.58","2.13"
"5.00","car5","E12","E12_0","86.55","2.28"
"5.00","car4","E12","E12_0","138.56","2.52"
"5.00","car2","E12","E12_0","149.23","2.79"
"5.00","car6","E12","E12_1","98.42","2.54"
"6.00","car9","-E12","-E12_0","101.76","2.07"
"6.00","car3","-E12","-E12_0","164.21","2.65"
"6.00","car7","-E12","-E12_0","186.98","2.07"
"6.00","car1","-E12","-E12_0","210.54","2.41"
"6.00","car0","E0","E0_0","12.97","3.61"
"6.00","car8","E12","E12_0","78.88","2.30"
"6.00","car5","E12","E12_0","88.80","2.25"
"6.00","car6","E12","E12_0","100.96","2.54"
"6.00","car4","E12","E12_0","141.38","2.82"
"6.00","car2","E12","E12_0","151.93","2.71"
"7.00","car9","-E12","-E12_0","103.96","2.20"
"7.00","car3","-E12","-E12_0","167.07","2.86"
"7.00","car7","-E12","-E12_0","189.25","2.27"
"7.00","car1","-E12","-E12_0","212.98","2.44"
"7.00","car0","E0","E0_0","17.15","4.18"
"7.00","car5","E12","E12_0","90.80","2.00"
"7.00","car6","E12","E12_0","103.48","2.52"
"7.00","car4","E12","E12_0","144.05","2.66"
"7.00","car2","E12","E12_0","154.42","2.49"
"7.00","car8","E12","E12_1","80.98","2.10"
"8.00","car9","-E12","-E12_0","105.97","2.01"
"8.00","car3","-E12","-E12_0","169.89","2.81"
"8.00","car7","-E12","-E12_0","191.60","2.34"
"8.00","car1","-E12","-E12_0","215.23","2.25"
"8.00","car0","E0","E0_0","22.11","4.96"
"8.00","car5","E12","E12_0","92.76","1.97"
"8.00","car6","E12","E12_0","106.34","2.86"
"8.00","car4","E12","E12_0","146.91","2.86"
"8.00","car2","E12","E12_0","156.89","2.47"
"8.00","car8","E12","E12_1","83.25","2.27"
"9.00","car9","-E12","-E12_0","108.12","2.15"
