"time","carID","depart","edgeID","departLane","laneID","arrivalLane","departPos","pos","arrivalPos","departSpeed","speed","arrivalSpeed","departDelay","waitingTime","duration","arrival","routeLength","rerouteNo","speedFactor","vaporized","HasRun","onRouteAtStart"
"0.00","car9","0.00","-E12","-E12_0","-E12_0","","88.64","88.64","-1.00","1.98","1.98","-1.00","0.00","0.00","101.00","-1.00","223.22","0","0.86","","5","route1"
"0.00","car3","0.00","-E12","-E12_0","-E12_0","","147.64","147.64","-1.00","2.97","2.97","-1.00","0.00","0.00","101.00","-1.00","635.35","0","1.08","","5","route1"
"0.00","car7","0.00","-E12","-E12_0","-E12_0","E2_0","173.88","173.88","100.00","2.44","2.44","10.85","0.00","0.00","71.00","71.00","226.12","0","0.89","","5","route2"
"0.00","car1","0.00","-E12","-E12_0","-E12_0","E2_0","196.05","196.05","100.00","2.56","2.56","11.90","0.00","0.00","59.00","59.00","203.95","0","0.94","","5","route2"
"0.00","car0","0.00","E0","E0_0","E0_0","","0.00","0.00","-1.00","0.00","0.00","-1.00","0.00","0.00","101.00","-1.00","646.59","0","1.06","end","5","route0"
"0.00","car8","0.00","E12","E12_0","E12_0","","66.07","66.07","-1.00","2.30","2.30","-1.00","0.00","0.00","101.00","-1.00","241.83","0","0.94","end","5","route0"
"0.00","car5","0.00","E12","E12_0","E12_0","","75.99","75.99","-1.00","2.22","2.22","-1.00","0.00","0.00","101.00","-1.00","211.40","0","0.83","end","5","route0"
"0.00","car4","0.00","E12","E12_0","E12_0","","125.27","125.27","-1.00","2.63","2.63","-1.00","0.00","0.00","101.00","-1.00","538.93","0","1.03","","5","route0"
"0.00","car2","0.00","E12","E12_0","E12_0","","136.17","136.17","-1.00","2.77","2.77","-1.00","0.00","0.00","101.00","-1.00","577.58","0","1.01","","5","route0"
"0.00","car6","0.00","E12","E12_1","E12_1","","84.79","84.79","-1.00","2.53","2.53","-1.00","0.00","0.00","101.00","-1.00","402.60","0","1.05","end","5","route0"
