"carID","depart","departLane","departPos","departSpeed","departDelay","arrival","arrivalLane","arrivalPos","arrivalSpeed","duration","routeLength","waitingTime","rerouteNo","speedFactor","vaporized"
"car0","0.00","E12_0","146.10","2.67","0.00","99.00","E7_0","300.00","14.39","99.00","653.90","0.00","0","1.06",""
"car1","0.00","E12_1","107.69","2.24","0.00","-1.00","","-1.00","-1.00","101.00","345.80","0.00","0","0.94","end"
"car2","0.00","E12_0","106.62","2.77","0.00","-1.00","","-1.00","-1.00","101.00","324.55","3.00","0","1.01","end"
"car3","0.00","E12_2","100.88","2.76","0.00","-1.00","","-1.00","-1.00","101.00","530.25","0.00","0","1.08",""
"car4","0.00","E12_0","84.40","2.76","0.00","-1.00","","-1.00","-1.00","101.00","300.64","1.00","0","1.03","end"
"car5","0.00","E12_1","42.41","2.05","0.00","-1.00","","-1.00","-1.00","101.00","211.74","0.00","0","0.83","end"
"car6","0.00","E12_0","41.17","2.79","0.00","-1.00","","-1.00","-1.00","101.00","276.40","0.00","0","1.05","end"
"car7","0.00","E12_1","26.88","2.24","0.00","-1.00","","-1.00","-1.00","101.00","217.33","1.00","0","0.89","end"
"car8","0.00","E12_0","18.13","2.54","0.00","-1.00","","-1.00","-1.00","101.00","216.36","1.00","0","0.94","end"
"car9","0.00","E12_2","3.94","2.15","0.00","-1.00","","-1.00","-1.00","101.00","218.96","0.00","0","0.86","end"
