"time","carID","edgeID","laneID","pos","speed"
"0.00","car1","-E12","-E12_0","117.31","2.31"
"0.00","car2","-E6","-E6_0","0.00","0.00"
"0.00","car0","-E7","-E7_0","0.00","0.00"
"0.00","car4","E0","E0_0","0.00","0.00"
"0.00","car7","E12","E12_0","108.37","2.12"
"1.00","car1","-E12","-E12_0","119.84","2.53"
"1.00","car2","-E6","-E6_0","0.71","0.71"
"1.00","car0","-E7","-E7_0","0.77","0.77"
"1.00","car4","E0","E0_0","0.78","0.78"
"1.00","car7","E12","E12_0","110.77","2.40"
"2.00","car1","-E12","-E12_0","122.09","2.25"
"2.00","car2","-E6","-E6_0","2.19","1.47"
"2.00","car0","-E7","-E7_0","2.19","1.42"
"2.00","car4","E0","E0_0","2.05","1.28"
"2.00","car7","E12","E12_0","112.84","2.08"
"3.00","car1","-E12","-E12_0","124.65","2.56"
"3.00","car2","-E6","-E6_0","4.19","2.00"
"3.00","car0","-E7","-E7_0","4.03","1.83"
"3.00","car4","E0","E0_0","3.81","1.75"
"3.00","car7","E12","E12_0","115.06","2.21"
"4.00","car1","-E12","-E12_0","127.03","2.38"
"4.00","car2","-E6","-E6_0","6.74","2.55"
"4.00","car0","-E7","-E7_0","6.36","2.34"
"4.00","car4","E0","E0_0","6.34","2.53"
"4.00","car7","E12","E12_0","117.36","2.31"
"5.00","car1","-E12","-E12_0","129.55","2.52"
"5.00","car6","-E6","-E6_0","0.00","0.00"
"5.00","car2","-E6","-E6_0","9.82","3.07"
"5.00","car3","-E7","-E7_0","0.00","0.00"
"5.00","car0","-E7","-E7_0","9.12","2.76"
"5.00","car5","E0","E0_0","0.00","0.00"
"5.00","car4","E0","E0_0","9.37","3.03"
"5.00","car7","E12","E12_0","119.49","2.13"
"6.00","car1","-E12","-E12_0","132.01","2.45"
"6.00","car6","-E6","-E6_0","0.46","0.46"
"6.00","car2","-E6","-E6_0","13.59","3.77"
"6.00","car3","-E7","-E7_0","0.66","0.66"
"6.00","car0","-E7","-E7_0","12.52","3.40"
"6.00","car5","E0","E0_0","0.57","0.57"
"6.00","car4","E0","E0_0","12.97","3.61"
"6.00","car7","E12","E12_0","121.94","2.45"
"7.00","car1","-E12","-E12_0","134.26","2.25"
"7.00","car6","-E6","-E6_0","1.37","0.91"
"7.00","car2","-E6","-E6_0","18.04","4.45"
"7.00","car3","-E7","-E7_0","1.85","1.20"
