"carID","depart","departLane","departPos","departSpeed","departDelay","arrival","arrivalLane","arrivalPos","arrivalSpeed","duration","routeLength","waitingTime","rerouteNo","speedFactor","vaporized"
"car1","0.00","-E12_0","196.05","2.56","0.00","59.00","E2_0","100.00","11.90","59.00","203.95","0.00","0","0.94",""
"car7","0.00","-E12_0","173.88","2.44","0.00","71.00","E2_0","100.00","10.85","71.00","226.12","0.00","0","0.89",""
"car0","0.00","E0_0","0.00","0.00","0.00","-1.00","","-1.00","-1.00","101.00","646.59","0.00","0","1.06","end"
"car2","0.00","E12_0","136.17","2.77","0.00","-1.00","","-1.00","-1.00","101.00","577.58","0.00","0","1.01",""
"car3","0.00","-E12_0","147.64","2.97","0.00","-1.00","","-1.00","-1.00","101.00","635.35","0.00","0","1.08",""
"car4","0.00","E12_0","125.27","2.63","0.00","-1.00","","-1.00","-1.00","101.00","538.93","0.00","0","1.03",""
"car5","0.00","E12_0","75.99","2.22","0.00","-1.00","","-1.00","-1.00","101.00","211.40","0.00","0","0.83","end"
"car6","0.00","E12_1","84.79","2.53","0.00","-1.00","","-1.00","-1.00","101.00","402.60","0.00","0","1.05","end"
"car8","0.00","E12_0","66.07","2.30","0.00","-1.00","","-1.00","-1.00","101.00","241.83","0.00","0","0.94","end"
"car9","0.00","-E12_0","88.64","1.98","0.00","-1.00","","-1.00","-1.00","101.00","223.22","0.00","0","0.86",""
