"time","carID","depart","edgeID","departLane","laneID","arrivalLane","departPos","pos","arrivalPos","departSpeed","speed","arrivalSpeed","departDelay","waitingTime","duration","arrival","routeLength","rerouteNo","speedFactor","vaporized","HasRun","onRouteAtStart"
"0.00","car8","0.00","E12","E12_0","E12_0","","18.13","18.13","-1.00","2.54","2.54","-1.00","0.00","1.00","101.00","-1.00","216.36","0","0.94","end","2","route0"
"0.00","car6","0.00","E12","E12_0","E12_0","","41.17","41.17","-1.00","2.79","2.79","-1.00","0.00","0.00","101.00","-1.00","276.40","0","1.05","end","2","route0"
"0.00","car4","0.00","E12","E12_0","E12_0","","84.40","84.40","-1.00","2.76","2.76","-1.00","0.00","1.00","101.00","-1.00","300.64","0","1.03","end","2","route0"
"0.00","car2","0.00","E12","E12_0","E12_0","","106.62","106.62","-1.00","2.77","2.77","-1.00","0.00","3.00","101.00","-1.00","324.55","0","1.01","end","2","route0"
"0.00","car0","0.00","E12","E12_0","E12_0","E7_0","146.10","146.10","300.00","2.67","2.67","14.39","0.00","0.00","99.00","99.00","653.90","0","1.06","","2","route0"
"0.00","car7","0.00","E12","E12_1","E12_1","","26.88","26.88","-1.00","2.24","2.24","-1.00","0.00","1.00","101.00","-1.00","217.33","0","0.89","end","2","route0"
"0.00","car5","0.00","E12","E12_1","E12_1","","42.41","42.41","-1.00","2.05","2.05","-1.00","0.00","0.00","101.00","-1.00","211.74","0","0.83","end","2","route0"
"0.00","car1","0.00","E12","E12_1","E12_1","","107.69","107.69","-1.00","2.24","2.24","-1.00","0.00","0.00","101.00","-1.00","345.80","0","0.94","end","2","route0"
"0.00","car9","0.00","E12","E12_2","E12_2","","3.94","3.94","-1.00","2.15","2.15","-1.00","0.00","0.00","101.00","-1.00","218.96","0","0.86","end","2","route0"
"0.00","car3","0.00","E12","E12_2","E12_2","","100.88","100.88","-1.00","2.76","2.76","-1.00","0.00","0.00","101.00","-1.00","530.25","0","1.08","","2","route0"
"1.00","car8","0.00","E12","E12_0","E12_0","","18.13","20.40","-1.00","2.54","2.27","-1.00","0.00","1.00","101.00","-1.00","216.36","0","0.94","end","2","route0"
"1.00","car6","0.00","E12","E12_0","E12_0","","41.17","43.92","-1.00","2.79","2.75","-1.00","0.00","0.00","101.00","-1.00","276.40","0","1.05","end","2","route0"
"1.00","car4","0.00","E12","E12_0","E12_0","","84.40","87.01","-1.00","2.76","2.61","-1.00","0.00","1.00","101.00","-1.00","300.64","0","1.03","end","2","route0"
