"carID","depart","departLane","departPos","departSpeed","departDelay","arrival","arrivalLane","arrivalPos","arrivalSpeed","duration","routeLength","waitingTime","rerouteNo","speedFactor","vaporized"
"car0","0.00","-E12_0","141.77","2.56","0.00","100.00","-E0_0","500.00","14.34","100.00","658.23","0.00","0","1.06",""
"car1","0.00","-E6_0","0.00","0.00","0.00","-1.00","","-1.00","-1.00","101.00","296.05","0.00","0","0.94","end"
"car2","0.00","E0_0","0.00","0.00","0.00","-1.00","","-1.00","-1.00","101.00","636.17","0.00","0","1.01","end"
"car3","0.00","-E7_0","0.00","0.00","0.00","-1.00","","-1.00","-1.00","101.00","647.64","0.00","0","1.08","end"
"car4","5.00","E0_0","0.00","0.00","5.00","-1.00","","-1.00","-1.00","96.00","625.27","0.00","0","1.03","end"
"car5","10.00","E0_0","0.00","0.00","10.00","-1.00","","-1.00","-1.00","91.00","575.99","0.00","0","0.83","end"
"car6","15.00","E0_0","0.00","0.00","15.00","-1.00","","-1.00","-1.00","86.00","584.79","0.00","0","1.05","end"
"car7","5.00","-E6_0","0.00","0.00","5.00","-1.00","","-1.00","-1.00","96.00","273.88","0.00","0","0.89","end"
"car8","20.00","E0_0","0.00","0.00","20.00","-1.00","","-1.00","-1.00","81.00","566.07","0.00","0","0.94","end"
"car9","5.00","-E7_0","0.00","0.00","5.00","-1.00","","-1.00","-1.00","96.00","588.64","0.00","0","0.86","end"
