"carID","depart","departLane","departPos","departSpeed","departDelay","arrival","arrivalLane","arrivalPos","arrivalSpeed","duration","routeLength","waitingTime","rerouteNo","speedFactor","vaporized"
"car0","0.00","E0_0","0.00","0.00","0.00","-1.00","","-1.00","-1.00","101.00","646.10","0.00","0","1.06","end"
"car1","5.00","E0_0","0.00","0.00","5.00","-1.00","","-1.00","-1.00","96.00","607.69","0.00","0","0.94","end"
"car2","10.00","E0_0","0.00","0.00","10.00","-1.00","","-1.00","-1.00","91.00","606.62","0.00","0","1.01","end"
"car3","15.00","E0_0","0.00","0.00","15.00","-1.00","","-1.00","-1.00","86.00","600.88","0.00","0","1.08","end"
"car4","20.00","E0_0","0.00","0.00","20.00","-1.00","","-1.00","-1.00","81.00","584.40","0.00","0","1.03","end"
"car5","25.00","E0_0","0.00","0.00","25.00","-1.00","","-1.00","-1.00","76.00","542.41","0.00","0","0.83","end"
"car6","30.00","E0_0","0.00","0.00","30.00","-1.00","","-1.00","-1.00","71.00","541.17","0.00","0","1.05","end"
"car7","35.00","E0_0","0.00","0.00","35.00","-1.00","","-1.00","-1.00","66.00","526.88","0.00","0","0.89","end"
"car8","40.00","E0_0","0.00","0.00","40.00","-1.00","","-1.00","-1.00","61.00","518.13","0.00","0","0.94","end"
"car9","45.00","E0_0","0.00","0.00","45.00","-1.00","","-1.00","-1.00","56.00","503.94","0.00","0","0.86","end"
