"time","carID","depart","edgeID","departLane","laneID","arrivalLane","departPos","pos","arrivalPos","departSpeed","speed","arrivalSpeed","departDelay","waitingTime","duration","arrival","routeLength","rerouteNo","speedFactor","vaporized","HasRun","onRouteAtStart"
"0.00","car9","0.00","-E0","-E0_0","-E0_0","-E0_0","11.86","11.86","500.00","4.13","4.13","11.58","0.00","0.00","46.00","46.00","488.14","0","0.86","","6","route1"
"0.00","car3","0.00","-E0","-E0_0","-E0_0","-E0_0","482.99","482.99","500.00","14.65","14.65","15.02","0.00","0.00","2.00","2.00","17.01","0","1.08","","6","route1"
"0.00","car1","0.00","-E7","-E7_0","-E7_0","","0.00","0.00","-1.00","0.00","0.00","-1.00","0.00","0.00","101.00","-1.00","617.31","0","0.94","end","6","route1"
"0.00","car7","0.00","E0","E0_0","E0_0","","0.00","0.00","-1.00","0.00","0.00","-1.00","0.00","0.00","101.00","-1.00","608.37","0","0.89","end","6","route0"
"0.00","car0","0.00","E12","E12_0","E12_0","E7_0","146.59","146.59","300.00","2.66","2.66","14.51","0.00","0.00","98.00","98.00","653.41","0","1.06","","6","route0"
"0.00","car5","0.00","E12","E12_0","E12_0","E7_0","287.39","287.39","300.00","2.27","2.27","11.34","0.00","0.00","56.00","56.00","512.61","0","0.83","","6","route0"
"0.00","car8","0.00","E4","E4_0","E4_0","E7_0","7.90","7.90","300.00","3.71","3.71","12.74","0.00","0.00","44.00","44.00","492.10","0","0.94","","6","route0"
"0.00","car6","0.00","E4","E4_0","E4_0","E7_0","187.39","187.39","300.00","14.15","14.15","14.37","0.00","0.00","22.00","22.00","312.61","0","1.05","","6","route0"
"0.00","car4","0.00","E7","E7_0","E7_0","E7_0","164.20","164.20","300.00","14.21","14.21","14.08","0.00","0.00","10.00","10.00","135.80","0","1.03","","6","route0"
"0.00","car2","0.00","E7","E7_0","E7_0","E7_0","213.75","213.75","300.00","13.80","13.80","13.76","0.00","0.00","7.00","7.00","86.25","0","1.01","","6","route0"
"1.00","car9","0.00","-E0","-E0_0","-E0_0","-E0_0","11.86","16.51","500.00","4.13","4.65","11.58","0.00","0.00","46.00","46.00","488.14","0","0.86","","6","route1"
"1.00","car3","0.00","-E0","-E0_0","-E0_0","-E0_0","482.99","497.67","500.00","14.65","14.68","15.02","0.00","0.00","2.00","2.00","17.01","0","1.08","","6","route1"
"1.00","car1","0.00","-E7","-E7_0","-E7_0","","0.00","0.77","-1.00","0.00","0.77","-1.00","0.00","0.00","101.00","-1.00","617.31","0","0.94","end","6","route1"
"1.00","car7","0.00","E0","E0_0","E0_0","","0.00","0.78","-1.00","0.00","0.78","-1.00","0.00","0.00","101.00","-1.00","608.37","0","0.89","end","6","route0"
"1.00","car0","0.00","E12","E12_0","E12_0","E7_0","146.59","149.15","300.00","2.66","2.56","14.51","0.00","0.00","98.00","98.00","653.41","0","1.06","","6","route0"
"1.00","car5","0.00","E12","E12_0","E12_0","E7_0","287.39","289.64","300.00","2.27","2.25","11.34","0.00","0.00","56.00","56.00","512.61","0","0.83","","6","route0"
"1.00","car8","0.00","E4","E4_0","E4_0","E7_0","7.90","12.18","300.00","3.71","4.28","12.74","0.00","0.00","44.00","44.00","492.10","0","0.94","","6","route0"
"1.00","car6","0.00","E7","E4_0","E7_0","E7_0","187.39","1.81","300.00","14.15","14.42","14.37","0.00","0.00","22.00","22.00","312.61","0","1.05","","6","route0"
"1.00","car4","0.00","E7","E7_0","E7_0","E7_0","164.20","178.36","300.00","14.21","14.16","14.08","0.00","0.00","10.00","10.00","135.80","0","1.03","","6","route0"
"1.00","car2","0.00","E7","E7_0","E7_0","E7_0","213.75","227.53","300.00","13.80","13.78","13.76","0.00","0.00","7.00","7.00","86.25","0","1.01","","6","route0"
"2.00","car9","0.00","-E0","-E0_0","-E0_0","-E0_0","11.86","21.75","500.00","4.13","5.25","11.58","0.00","0.00","46.00","46.00","488.14","0","0.86","","6","route1"
"2.00","car1","0.00","-E7","-E7_0","-E7_0","","0.00","2.19","-1.00","0.00","1.42","-1.00","0.00","0.00","101.00","-1.00","617.31","0","0.94","end","6","route1"
"2.00","car7","0.00","E0","E0_0","E0_0","","0.00","2.05","-1.00","0.00","1.28","-1.00","0.00","0.00","101.00","-1.00","608.37","0","0.89","end","6","route0"
"2.00","car0","0.00","E12","E12_0","E12_0","E7_0","146.59","151.94","300.00","2.66","2.79","14.51","0.00","0.00","98.00","98.00","653.41","0","1.06","","6","route0"
"2.00","car5","0.00","E12","E12_0","E12_0","E7_0","287.39","291.70","300.00","2.27","2.06","11.34","0.00","0.00","56.00","56.00","512.61","0","0.83","","6","route0"
"2.00","car8","0.00","E4","E4_0","E4_0","E7_0","7.90","17.07","300.00","3.71","4.88","12.74","0.00","0.00","44.00","44.00","492.10","0","0.94","","6","route0"
"2.00","car6","0.00","E7","E4_0","E7_0","E7_0","187.39","15.98","300.00","14.15","14.17","14.37","0.00","0.00","22.00","22.00","312.61","0","1.05","","6","route0"
"2.00","car4","0.00","E7","E7_0","E7_0","E7_0","164.20","192.58","300.00","14.21","14.22","14.08","0.00","0.00","10.00","10.00","135.80","0","1.03","","6","route0"
"2.00","car2","0.00","E7","E7_0","E7_0","E7_0","213.75","241.21","300.00","13.80","13.67","13.76","0.00","0.00","7.00","7.00","86.25","0","1.01","","6","route0"
"3.00","car9","0.00","-E0","-E0_0","-E0_0","-E0_0","11.86","27.57","500.00","4.13","5.81","11.58","0.00","0.00","46.00","46.00","488.14","0","0.86","","6","route1"
"3.00","car1","0.00","-E7","-E7_0","-E7_0","","0.00","4.03","-1.00","0.00","1.83","-1.00","0.00","0.00","101.00","-1.00","617.31","0","0.94","end","6","route1"
"3.00","car7","0.00","E0","E0_0","E0_0","","0.00","3.81","-1.00","0.00","1.75","-1.00","0.00","0.00","101.00","-1.00","608.37","0","0.89","end","6","route0"
"3.00","car0","0.00","E12","E12_0","E12_0","E7_0","146.59","154.87","300.00","2.66","2.93","14.51","0.00","0.00","98.00","98.00","653.41","0","1.06","","6","route0"
"3.00","car5","0.00","E12","E12_0","E12_0","E7_0","287.39","293.67","300.00","2.27","1.98","11.34","0.00","0.00","56.00","56.00","512.61","0","0.83","","6","route0"
"3.00","car8","0.00","E4","E4_0","E4_0","E7_0","7.90","22.75","300.00","3.71","5.68","12.74","0.00","0.00","44.00","44.00","492.10","0","0.94","","6","route0"
"3.00","car6","0.00","E7","E4_0","E7_0","E7_0","187.39","30.35","300.00","14.15","14.37","14.37","0.00","0.00","22.00","22.00","312.61","0","1.05","","6","route0"
"3.00","car4","0.00","E7","E7_0","E7_0","E7_0","164.20","206.85","300.00","14.21","14.28","14.08","0.00","0.00","10.00","10.00","135.80","0","1.03","","6","route0"
"3.00","car2","0.00","E7","E7_0","E7_0","E7_0","213.75","255.06","300.00","13.80","13.85","13.76","0.00","0.00","7.00","7.00","86.25","0","1.01","","6","route0"
"4.00","car9","0.00","-E0","-E0_0","-E0_0","-E0_0","11.86","34.16","500.00","4.13","6.59","11.58","0.00","0.00","46.00","46.00","488.14","0","0.86","","6","route1"
