"id","sampledSeconds","CO_abs","CO2_abs","HC_abs","PMx_abs","NOx_abs","fuel_abs","electricity_abs","CO_normed","CO2_normed","HC_normed","PMx_normed","NOx_normed","fuel_normed","electricity_normed","traveltime","CO_perVeh","CO2_perVeh","HC_perVeh","PMx_perVeh","NOx_perVeh","fuel_perVeh","electricity_perVeh"
"-E12","51.91","2754.356482","58284.783674","13.864779","1.113692","24.848081","25.055547","0","327.250275","6924.924793","1.647300","0.132320","2.952247","2.976897","0","109.84","5828.454359","123335.597176","29.339060","2.356667","52.580670","53.019686","0"
"-E4","17.00","137.882024","17203.805603","0.999730","0.181830","5.927337","7.395288","0","24.573034","3066.024761","0.178170","0.032405","1.056357","1.317972","0","16.59","134.519048","16784.200588","0.975346","0.177395","5.782768","7.214915","0"
"-E7","33.38","2020.887246","96462.622617","11.397632","1.506451","38.089572","41.465921","0","240.105415","11460.905657","1.354174","0.178984","4.525494","4.926644","0","32.83","1987.757947","94881.268148","11.210786","1.481755","37.465153","40.786152","0"
"E12","120.69","7674.225893","157706.919893","38.555153","3.202366","68.348046","67.795192","0","911.789215","18737.455829","4.580810","0.380479","8.120560","8.054874","0","137.02","8712.460806","179042.860805","43.771224","3.635609","77.594754","76.967105","0"
"E4","130.26","6015.016901","361706.157007","35.620667","5.176770","139.919416","155.484254","0","1071.983210","64462.483427","6.348238","0.922593","24.936134","27.710065","0","20.80","960.305397","57746.865966","5.686887","0.826478","22.338320","24.823267","0"
"E7","201.23","937.352608","287162.561729","10.429868","2.428106","95.798702","123.440389","0","111.368627","34118.324166","1.239192","0.288488","11.382024","14.666185","0","23.23","108.216413","33152.628156","1.204118","0.280322","11.059864","14.251068","0"
