"id","sampledSeconds","CO_abs","CO2_abs","HC_abs","PMx_abs","NOx_abs","fuel_abs","electricity_abs","CO_normed","CO2_normed","HC_normed","PMx_normed","NOx_normed","fuel_normed","electricity_normed","traveltime","CO_perVeh","CO2_perVeh","HC_perVeh","PMx_perVeh","NOx_perVeh","fuel_perVeh","electricity_perVeh"
"-E0","47.31","1094.692945","95261.569446","7.098375","1.089907","34.716533","40.949499","0","78.037517","6790.923763","0.506023","0.077696","2.474842","2.919172","0","45.92","1062.499218","92460.030522","6.889620","1.057854","33.695557","39.745219","0"
"-E12","48.89","2646.641181","53811.551009","13.277327","1.066127","23.158803","23.132621","0","314.452418","6393.451605","1.577504","0.126669","2.751541","2.748430","0","125.04","6768.271860","137612.612209","33.954190","2.726413","59.224151","59.157196","0"
"-E4","18.91","90.797024","16806.300749","0.790944","0.161354","5.776714","7.224396","0","16.181648","2995.182312","0.140960","0.028756","1.029513","1.287516","0","18.45","88.582463","16396.390975","0.771653","0.157419","5.635818","7.048191","0"
"-E7","34.71","1940.650088","91518.981472","10.921927","1.354571","35.729238","39.340952","0","230.572288","10873.542353","1.297655","0.160939","4.245058","4.674172","0","34.14","1908.836152","90018.670300","10.742879","1.332365","35.143513","38.696018","0"
"E0","54.21","1861.169922","100300.125989","10.745911","1.357974","38.199406","43.115653","0","132.677460","7150.107991","0.766045","0.096806","2.723126","3.073591","0","53.67","1842.742497","99307.055435","10.639516","1.344529","37.821194","42.688765","0"
"E12","112.85","5884.714901","123276.391832","29.602364","2.406507","52.855851","52.994210","0","699.174048","14646.700020","3.517112","0.285922","6.279903","6.296342","0","119.04","6207.823609","130045.058861","31.227724","2.538640","55.757977","55.903933","0"
"E4","67.36","3604.613512","201753.610669","21.008862","2.964976","78.737220","86.726577","0","642.406369","35956.089030","3.744154","0.528411","14.032376","15.456222","0","21.57","1154.011785","64591.125696","6.725957","0.949233","25.207607","27.765388","0"
"E7","109.02","387.196882","136142.589500","4.578915","1.176441","45.309948","58.522500","0","46.003590","16175.357168","0.544030","0.139775","5.383360","6.953168","0","22.64","80.404680","28271.150510","0.950850","0.244298","9.408991","12.152688","0"
