"time","carID","depart","edgeID","departLane","laneID","arrivalLane","departPos","pos","arrivalPos","departSpeed","speed","arrivalSpeed","departDelay","waitingTime","duration","arrival","routeLength","rerouteNo","speedFactor","vaporized","HasRun","onRouteAtStart"
"0.00","car1","0.00","-E12","-E12_0","-E12_0","","117.31","117.31","-1.00","2.31","2.31","-1.00","0.00","0.00","101.00","-1.00","410.47","0","0.94","","7","route1"
"0.00","car2","0.00","-E6","-E6_0","-E6_0","","0.00","0.00","-1.00","0.00","0.00","-1.00","0.00","0.00","101.00","-1.00","313.05","0","1.01","end","7","route2"
"0.00","car0","0.00","-E7","-E7_0","-E7_0","","0.00","0.00","-1.00","0.00","0.00","-1.00","0.00","0.00","101.00","-1.00","642.71","0","1.06","end","7","route1"
"0.00","car4","0.00","E0","E0_0","E0_0","","0.00","0.00","-1.00","0.00","0.00","-1.00","0.00","0.00","101.00","-1.00","638.91","0","1.03","end","7","route0"
"0.00","car7","0.00","E12","E12_0","E12_0","","108.37","108.37","-1.00","2.12","2.12","-1.00","0.00","0.00","101.00","-1.00","294.69","0","0.89","end","7","route0"
"1.00","car1","0.00","-E12","-E12_0","-E12_0","","117.31","119.84","-1.00","2.31","2.53","-1.00","0.00","0.00","101.00","-1.00","410.47","0","0.94","","7","route1"
"1.00","car2","0.00","-E6","-E6_0","-E6_0","","0.00","0.71","-1.00","0.00","0.71","-1.00","0.00","0.00","101.00","-1.00","313.05","0","1.01","end","7","route2"
"1.00","car0","0.00","-E7","-E7_0","-E7_0","","0.00","0.77","-1.00","0.00","0.77","-1.00","0.00","0.00","101.00","-1.00","642.71","0","1.06","end","7","route1"
"1.00","car4","0.00","E0","E0_0","E0_0","","0.00","0.78","-1.00","0.00","0.78","-1.00","0.00","0.00","101.00","-1.00","638.91","0","1.03","end","7","route0"
"1.00","car7","0.00","E12","E12_0","E12_0","","108.37","110.77","-1.00","2.12","2.40","-1.00","0.00","0.00","101.00","-1.00","294.69","0","0.89","end","7","route0"
"2.00","car1","0.00","-E12","-E12_0","-E12_0","","117.31","122.09","-1.00","2.31","2.25","-1.00","0.00","0.00","101.00","-1.00","410.47","0","0.94","","7","route1"
"2.00","car2","0.00","-E6","-E6_0","-E6_0","","0.00","2.19","-1.00","0.00","1.47","-1.00","0.00","0.00","101.00","-1.00","313.05","0","1.01","end","7","route2"
"2.00","car0","0.00","-E7","-E7_0","-E7_0","","0.00","2.19","-1.00","0.00","1.42","-1.00","0.00","0.00","101.00","-1.00","642.71","0","1.06","end","7","route1"
"2.00","car4","0.00","E0","E0_0","E0_0","","0.00","2.05","-1.00","0.00","1.28","-1.00","0.00","0.00","101.00","-1.00","638.91","0","1.03","end","7","route0"
"2.00","car7","0.00","E12","E12_0","E12_0","","108.37","112.84","-1.00","2.12","2.08","-1.00","0.00","0.00","101.00","-1.00","294.69","0","0.89","end","7","route0"
"3.00","car1","0.00","-E12","-E12_0","-E12_0","","117.31","124.65","-1.00","2.31","2.56","-1.00","0.00","0.00","101.00","-1.00","410.47","0","0.94","","7","route1"
"3.00","car2","0.00","-E6","-E6_0","-E6_0","","0.00","4.19","-1.00","0.00","2.00","-1.00","0.00","0.00","101.00","-1.00","313.05","0","1.01","end","7","route2"
"3.00","car0","0.00","-E7","-E7_0","-E7_0","","0.00","4.03","-1.00","0.00","1.83","-1.00","0.00","0.00","101.00","-1.00","642.71","0","1.06","end","7","route1"
"3.00","car4","0.00","E0","E0_0","E0_0","","0.00","3.81","-1.00","0.00","1.75","-1.00","0.00","0.00","101.00","-1.00","638.91","0","1.03","end","7","route0"
"3.00","car7","0.00","E12","E12_0","E12_0","","108.37","115.06","-1.00","2.12","2.21","-1.00","0.00","0.00","101.00","-1.00","294.69","0","0.89","end","7","route0"
"4.00","car1","0.00","-E12","-E12_0","-E12_0","","117.31","127.03","-1.00","2.31","2.38","-1.00","0.00","0.00","101.00","-1.00","410.47","0","0.94","","7","route1"
"4.00","car2","0.00","-E6","-E6_0","-E6_0","","0.00","6.74","-1.00","0.00","2.55","-1.00","0.00","0.00","101.00","-1.00","313.05","0","1.01","end","7","route2"
"4.00","car0","0.00","-E7","-E7_0","-E7_0","","0.00","6.36","-1.00","0.00","2.34","-1.00","0.00","0.00","101.00","-1.00","642.71","0","1.06","end","7","route1"
"4.00","car4","0.00","E0","E0_0","E0_0","","0.00","6.34","-1.00","0.00","2.53","-1.00","0.00","0.00","101.00","-1.00","638.91","0","1.03","end","7","route0"
"4.00","car7","0.00","E12","E12_0","E12_0","","108.37","117.36","-1.00","2.12","2.31","-1.00","0.00","0.00","101.00","-1.00","294.69","0","0.89","end","7","route0"
"5.00","car1","0.00","-E12","-E12_0","-E12_0","","117.31","129.55","-1.00","2.31","2.52","-1.00","0.00","0.00","101.00","-1.00","410.47","0","0.94","","7","route1"
"5.00","car6","5.00","-E6","-E6_0","-E6_0","","0.00","0.00","-1.00","0.00","0.00","-1.00","5.00","0.00","96.00","-1.00","302.53","0","1.05","end","7","route2"
"5.00","car2","0.00","-E6","-E6_0","-E6_0","","0.00","9.82","-1.00","0.00","3.07","-1.00","0.00","0.00","101.00","-1.00","313.05","0","1.01","end","7","route2"
