"carID","depart","departLane","departPos","departSpeed","departDelay","arrival","arrivalLane","arrivalPos","arrivalSpeed","duration","routeLength","waitingTime","rerouteNo","speedFactor","vaporized"
"car3","0.00","E7_0","131.13","14.90","0.00","12.00","E7_0","300.00","14.98","12.00","168.87","0.00","0","1.08",""
"car1","0.00","E4_0","153.49","12.84","0.00","27.00","E7_0","300.00","12.88","27.00","346.51","0.00","0","0.94",""
"car2","0.00","E4_0","131.17","12.65","0.00","27.00","E7_1","300.00","13.88","27.00","368.83","0.00","0","1.01",""
"car4","0.00","E4_0","85.04","10.48","0.00","31.00","E7_0","300.00","14.27","31.00","414.96","0.00","0","1.03",""
"car6","0.00","E4_0","17.57","5.07","0.00","38.00","E7_0","300.00","14.15","38.00","482.43","0.00","0","1.05",""
"car5","0.00","E12_0","254.15","2.27","0.00","72.00","E7_0","300.00","11.37","72.00","545.85","0.00","0","0.83",""
"car7","0.00","E12_0","244.21","1.82","0.00","74.00","E7_0","300.00","12.15","74.00","555.79","0.00","0","0.89",""
"car8","0.00","E12_0","234.49","2.21","0.00","77.00","E7_0","300.00","12.79","77.00","565.51","0.00","0","0.94",""
"car9","0.00","E12_0","222.90","2.23","0.00","85.00","E7_0","300.00","11.69","85.00","577.10","0.00","0","0.86",""
"car0","0.00","-E7_0","0.00","0.00","0.00","-1.00","","-1.00","-1.00","101.00","641.77","0.00","0","1.06","end"
