"id","sampledSeconds","traveltime","overlapTraveltime","density","laneDensity","occupancy","waitingTime","timeLoss","speed","speedRelative","departed","arrived","entered","left","laneChangedFrom","laneChangedTo"
"-E12","51.91","109.84","111.67","1.71","0.57","0.28","0.00","3.80","2.73","0.98","0","0","1","0","2","2"
"-E4","17.00","15.06","17.00","0.84","0.28","0.13","0.00","1.66","12.06","0.87","0","0","1","1","0","0"
"-E7","33.38","33.03","33.38","1.10","0.55","0.26","0.00","12.66","9.14","0.66","1","0","0","1","1","1"
"E12","120.69","139.40","139.30","3.98","1.33","0.65","0.00","20.19","2.19","0.79","4","0","0","4","0","0"
"E4","130.26","20.97","21.32","6.45","2.15","1.03","0.00","32.38","9.62","0.69","4","0","4","8","1","1"
"E7","201.23","23.24","23.62","6.64","3.32","1.64","0.00","3.16","12.91","0.93","1","9","8","0","0","0"
