"id","sampledSeconds","traveltime","overlapTraveltime","density","laneDensity","occupancy","waitingTime","timeLoss","speed","speedRelative","departed","arrived","entered","left","laneChangedFrom","laneChangedTo"
"-E0","42.14","42.11","42.53","0.83","0.28","0.14","0.00","8.16","11.87","0.85","0","1","1","0","0","0"
"-E12","310.09","121.08","122.92","10.23","3.41","1.68","0.00","24.66","2.48","0.89","1","0","4","1","5","5"
"-E4","36.13","16.66","18.23","1.79","0.60","0.28","0.00","3.03","11.24","0.81","0","0","2","2","0","0"
"-E6","42.06","18.82","21.03","4.16","1.39","0.58","0.00","21.88","4.99","0.36","2","0","0","2","1","1"
"-E7","69.13","34.18","34.56","2.28","1.14","0.53","0.00","23.22","8.82","0.64","2","0","0","2","2","2"
"E0","265.70","51.05","53.14","5.26","1.75","0.82","0.00","68.02","9.50","0.68","5","0","0","5","10","10"
"E12","194.73","119.64","121.64","6.43","2.14","1.04","0.00","15.13","2.51","0.90","0","0","5","0","9","9"
