"time","carID","edgeID","laneID","pos","speed"
"0.00","car8","E12","E12_0","18.13","2.54"
"0.00","car6","E12","E12_0","41.17","2.79"
"0.00","car4","E12","E12_0","84.40","2.76"
"0.00","car2","E12","E12_0","106.62","2.77"
"0.00","car0","E12","E12_0","146.10","2.67"
"0.00","car7","E12","E12_1","26.88","2.24"
"0.00","car5","E12","E12_1","42.41","2.05"
"0.00","car1","E12","E12_1","107.69","2.24"
"0.00","car9","E12","E12_2","3.94","2.15"
"0.00","car3","E12","E12_2","100.88","2.76"
"1.00","car8","E12","E12_0","20.40","2.27"
"1.00","car6","E12","E12_0","43.92","2.75"
"1.00","car4","E12","E12_0","87.01","2.61"
"1.00","car2","E12","E12_0","109.04","2.42"
"1.00","car0","E12","E12_0","148.98","2.88"
"1.00","car7","E12","E12_1","29.14","2.26"
"1.00","car5","E12","E12_1","44.68","2.27"
"1.00","car1","E12","E12_1","110.04","2.35"
"1.00","car9","E12","E12_2","5.96","2.02"
"1.00","car3","E12","E12_2","103.70","2.82"
"2.00","car8","E12","E12_0","22.74","2.34"
"2.00","car6","E12","E12_0","46.61","2.69"
"2.00","car4","E12","E12_0","89.84","2.82"
"2.00","car2","E12","E12_0","111.45","2.41"
"2.00","car0","E12","E12_0","151.91","2.93"
"2.00","car7","E12","E12_1","31.24","2.10"
"2.00","car5","E12","E12_1","46.63","1.95"
"2.00","car1","E12","E12_1","112.60","2.56"
"2.00","car9","E12","E12_2","8.16","2.20"
"2.00","car3","E12","E12_2","106.66","2.96"
"3.00","car8","E12","E12_0","25.16","2.42"
"3.00","car6","E12","E12_0","49.51","2.90"
"3.00","car4","E12","E12_0","92.34","2.51"
"3.00","car2","E12","E12_0","114.08","2.62"
"3.00","car0","E12","E12_0","154.73","2.82"
"3.00","car7","E12","E12_1","33.47","2.23"
"3.00","car5","E12","E12_1","48.90","2.27"
"3.00","car1","E12","E12_1","114.87","2.27"
"3.00","car9","E12","E12_2","10.26","2.10"
"3.00","car3","E12","E12_2","109.58","2.92"
"4.00","car8","E12","E12_0","27.58","2.42"
"4.00","car6","E12","E12_0","52.39","2.88"
"4.00","car4","E12","E12_0","94.86","2.52"
"4.00","car2","E12","E12_0","116.87","2.79"
"4.00","car0","E12","E12_0","157.48","2.75"
"4.00","car7","E12","E12_1","35.63","2.15"
"4.00","car5","E12","E12_1","51.08","2.18"
"4.00","car1","E12","E12_1","117.48","2.61"
"4.00","car9","E12","E12_2","12.44","2.17"
"4.00","car3","E12","E12_2","112.50","2.92"
"5.00","car8","E12","E12_0","29.86","2.29"
"5.00","car6","E12","E12_0","55.13","2.74"
"5.00","car4","E12","E12_0","97.66","2.80"
"5.00","car2","E12","E12_0","119.64","2.76"
"5.00","car0","E12","E12_0","160.33","2.85"
"5.00","car7","E12","E12_1","37.98","2.36"
"5.00","car5","E12","E12_1","53.12","2.04"
"5.00","car1","E12","E12_1","119.78","2.31"
"5.00","car9","E12","E12_2","14.69","2.25"
"5.00","car3","E12","E12_2","115.20","2.70"
"6.00","car8","E12","E12_0","32.13","2.27"
"6.00","car6","E12","E12_0","57.72","2.59"
"6.00","car4","E12","E12_0","100.21","2.55"
"6.00","car2","E12","E12_0","122.06","2.42"
"6.00","car0","E12","E12_0","163.08","2.75"
"6.00","car9","E12","E12_1","17.02","2.33"
"6.00","car7","E12","E12_1","40.28","2.30"
"6.00","car5","E12","E12_1","55.21","2.09"
"6.00","car1","E12","E12_1","122.01","2.23"
"6.00","car3","E12","E12_2","118.11","2.92"
"7.00","car8","E12","E12_0","34.43","2.29"
"7.00","car6","E12","E12_0","60.56","2.84"
"7.00","car4","E12","E12_0","102.73","2.52"
"7.00","car2","E12","E12_0","124.82","2.76"
"7.00","car0","E12","E12_0","166.02","2.94"
"7.00","car9","E12","E12_1","19.26","2.24"
"7.00","car7","E12","E12_1","42.70","2.41"
"7.00","car5","E12","E12_1","57.36","2.15"
"7.00","car1","E12","E12_1","124.55","2.54"
"7.00","car3","E12","E12_2","120.75","2.64"
"8.00","car8","E12","E12_0","36.76","2.33"
"8.00","car6","E12","E12_0","63.18","2.62"
"8.00","car4","E12","E12_0","105.55","2.82"
"8.00","car2","E12","E12_0","127.39","2.56"
"8.00","car0","E12","E12_0","168.85","2.84"
"8.00","car9","E12","E12_1","21.28","2.02"
"8.00","car7","E12","E12_1","44.82","2.13"
"8.00","car5","E12","E12_1","59.36","2.00"
"8.00","car1","E12","E12_1","127.05","2.50"
"8.00","car3","E12","E12_2","123.67","2.92"
"9.00","car8","E12","E12_0","39.31","2.56"
